EMA10,EMA20,RSI,MACD,BB_H,BB_L,STOCH,Target,Date
1106.9884203043373,1093.6498715335388,64.81022644397686,14.366045687432916,1126.671124785789,1054.823223358742,85.51899166508551,1,2023-05-05
1112.431044169458,1097.7711077267732,68.57453895243769,15.956565979697416,1133.9010795721401,1054.310688005985,92.5468096958899,1,2023-05-08
1117.5238150804087,1101.8349340556222,69.46698226461724,17.30153159147858,1141.0271761650426,1053.5363492255822,95.3134097113373,1,2023-05-09
1123.1164532831183,1106.2585903546403,71.41545704348877,18.783687048206275,1148.2928286712215,1054.1701596100286,98.06259000679495,0,2023-05-10
1126.3291444830627,1109.5469393573235,67.01265612294927,19.132803953212942,1152.9337240451557,1056.150089431407,83.13124849656644,1,2023-05-11
1129.2963774463694,1112.6995094929355,67.54796930205342,19.336880073498378,1157.3554406196204,1058.061722466317,84.42725200526226,1,2023-05-12
1132.133892449018,1115.7664809660785,68.21997916240112,19.45619451741777,1161.630555594977,1059.938292061273,87.26426698763834,0,2023-05-15
1131.4909848020375,1116.9885209112733,58.74284870137284,18.02728291069252,1163.1396213215028,1062.4008083659971,64.16865113303166,0,2023-05-16
1129.7523895539396,1117.4590151994853,55.35544005698503,16.170311035536542,1162.6781146766834,1067.4134014365977,51.75263592637072,0,2023-05-17
1127.890893299814,1117.6547432906057,54.13823251894919,14.33852775438254,1162.068226857241,1071.7970929669777,40.93951553910266,1,2023-05-18
1127.0284732467228,1118.1778708827205,55.716254171607616,13.029813584892281,1160.8311098564157,1077.4450253974908,29.963735887669554,1,2023-05-19
1127.4141654333982,1119.2228146342172,58.27062006184561,12.334787580584816,1159.4492410843995,1083.702248173413,43.49407819778178,0,2023-05-22
1127.6920897224963,1120.148522671286,58.146034080249386,11.633168844098009,1157.724614041677,1089.867573458323,42.09687238385874,0,2023-05-23
1126.7236371522129,1120.3596729488718,54.18264963704102,10.426223020279622,1156.1131861927913,1094.4318089243964,23.607110161113628,0,2023-05-24
1125.9061869668674,1120.5375765854376,54.09936329358963,9.350789121935577,1152.3274367795236,1101.7981735720389,25.575082996903,1,2023-05-25
1130.8026384132322,1123.6136807127175,66.43051591224308,10.843395297324378,1152.5717754397888,1107.507753368805,96.78996571564547,1,2023-05-26
1135.987936400599,1127.014451820435,68.36937113594433,12.406575140216546,1156.8737102058817,1107.8098103019306,91.75070282116316,0,2023-05-29
1140.1760983547513,1130.0628685183399,68.1738988478169,13.466055341828223,1160.8500427445595,1107.4623962202843,85.40891726205423,0,2023-05-30
1139.4173182206487,1130.6285770039444,55.1082310535249,12.306318268326322,1160.1873096064498,1110.41562008105,44.266169240546056,0,2023-05-31
1138.240390156383,1130.8491138480629,53.63733671099901,11.013459028194347,1160.195198690845,1111.109134805249,38.79966858073638,0,2023-06-01
1136.6042645313587,1130.6960267405093,51.833748868270064,9.579668323620808,1160.0127024215626,1111.9102467971875,32.18231419405505,1,2023-06-02
1137.1095660441229,1131.523397798705,56.1802487422406,9.156184405291924,1160.17927671475,1111.9897296329063,50.308205849452875,1,2023-06-05
